72364 EPZ Santa Teresa Observations at 12Z 01 Feb 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    143                                                               
  925.0    808                                                               
  877.0   1252    2.4   -8.6     44   2.29    165      2  286.1  292.9  286.5
  874.0   1280    6.8   -7.2     36   2.56    181      3  290.9  298.7  291.4
  871.0   1309    9.0   -8.0     29   2.41    198      5  293.5  300.9  293.9
  850.0   1515    9.2   -8.8     27   2.32    315     15  295.8  303.0  296.2
  828.0   1733   11.2   -7.8     26   2.58    312     22  300.1  308.2  300.6
  818.5   1829   11.0   -8.6     24   2.46    310     25  300.9  308.7  301.3
  789.0   2134   10.4  -11.0     21   2.10    310     17  303.4  310.2  303.8
  780.0   2229   10.2  -11.8     20   2.00    312     17  304.2  310.7  304.6
  760.5   2438    8.6  -13.8     19   1.74    315     17  304.7  310.4  305.0
  736.0   2708    6.6  -16.4     18   1.45    319     21  305.4  310.2  305.6
  732.9   2743    6.5  -17.4     16   1.34    320     21  305.6  310.1  305.9
  706.0   3048    5.4  -25.9      8   0.66    320     22  307.7  310.1  307.9
  700.0   3118    5.2  -27.8      7   0.56    320     22  308.2  310.2  308.3
  690.0   3235    5.0  -39.0      2   0.19    313     24  309.3  310.0  309.3
  680.1   3353    4.3  -40.7      2   0.16    305     25  309.8  310.4  309.8
  661.0   3584    3.0  -44.0      2   0.12    309     23  310.8  311.3  310.9
  656.0   3645    2.8  -34.2      5   0.32    310     23  311.3  312.5  311.3
  655.0   3658    2.8  -30.3      7   0.47    310     23  311.4  313.1  311.4
  652.0   3694    2.6  -19.4     18   1.27    311     23  311.6  316.0  311.8
  647.0   3757    2.2  -22.8     14   0.95    312     24  311.8  315.1  312.0
  609.0   4241   -2.3  -16.3     33   1.77    324     28  312.1  318.1  312.4
  607.0   4267   -2.5  -16.3     34   1.77    325     28  312.2  318.2  312.5
  594.0   4438   -3.5  -16.5     36   1.78    325     30  312.9  318.9  313.3
  584.0   4572   -4.1  -20.2     27   1.33    325     32  313.7  318.3  314.0
  581.0   4613   -4.3  -21.3     25   1.21    327     32  314.0  318.2  314.2
  561.8   4877   -6.0  -22.4     26   1.13    340     31  315.0  318.9  315.2
  548.0   5071   -7.3  -23.3     27   1.07    340     28  315.7  319.5  315.9
  540.2   5182   -7.7  -24.5     25   0.98    340     27  316.5  319.9  316.6
  527.0   5375   -8.5  -26.5     22   0.84    332     25  317.8  320.8  318.0
  519.0   5493   -9.5  -26.5     24   0.85    327     23  318.0  321.1  318.1
  506.0   5688  -10.7  -37.7      9   0.30    319     21  318.8  320.0  318.9
  500.0   5780  -11.3  -34.3     13   0.42    315     20  319.2  320.8  319.3
  493.0   5888  -12.1  -32.1     17   0.53    313     20  319.5  321.5  319.6
  480.0   6091  -13.7  -52.7      2   0.06    310     21  320.0  320.2  320.0
  479.7   6096  -13.7  -52.7      2   0.06    310     21  320.0  320.3  320.0
  460.7   6401  -15.4  -50.2      3   0.08    300     20  321.7  322.0  321.7
  448.0   6612  -16.5  -48.5      4   0.10    304     19  322.8  323.3  322.9
  416.0   7163  -21.5  -41.5     15   0.24    314     16  323.3  324.3  323.4
  412.0   7234  -22.1  -37.1     24   0.39    316     16  323.4  324.9  323.5
  402.0   7414  -23.7  -37.7     26   0.37    319     15  323.6  325.1  323.7
  400.0   7450  -24.1  -38.1     26   0.36    320     15  323.6  325.0  323.6
  390.7   7620  -25.6  -40.2     24   0.30    320     13  323.9  325.0  323.9
  386.0   7708  -26.3  -41.3     23   0.27    317     12  324.0  325.1  324.1
  374.5   7925  -28.4  -40.8     30   0.29    310     10  324.0  325.1  324.1
  373.0   7954  -28.7  -40.7     31   0.29    310     10  324.0  325.2  324.1
  368.0   8051  -29.5  -43.5     24   0.22    308     12  324.2  325.1  324.2
  358.8   8230  -31.0  -42.2     32   0.26    305     15  324.6  325.6  324.6
  358.0   8246  -31.1  -42.1     33   0.26    306     15  324.6  325.7  324.7
  346.0   8487  -33.1  -46.1     26   0.18    322     19  325.1  325.8  325.1
  343.7   8534  -33.5  -46.4     26   0.17    325     20  325.1  325.8  325.1
  320.0   9029  -38.3  -49.3     30   0.13    309     20  325.2  325.8  325.2
  314.7   9144  -38.8  -53.4     20   0.08    305     20  326.0  326.4  326.1
  314.0   9159  -38.9  -53.9     19   0.08    306     20  326.1  326.5  326.2
  300.9   9449  -41.0  -59.7     11   0.04    320     22  327.2  327.4  327.2
  300.0   9470  -41.1  -60.1     11   0.04    325     20  327.3  327.5  327.3
  289.0   9725  -43.1  -63.1      9   0.03    316     17  328.0  328.1  328.0
  287.7   9754  -43.4  -63.1      9   0.03    315     17  328.0  328.1  328.0
  274.9  10058  -46.1  -63.3     12   0.03    340     13  328.4  328.5  328.4
  250.0  10690  -51.7  -63.7     22   0.03    345     10  329.1  329.2  329.1
  239.2  10973  -54.3  -65.5     24   0.02    340     10  329.4  329.5  329.4
  235.0  11087  -55.3  -66.3     24   0.02    338     11  329.5  329.6  329.5
  215.0  11648  -58.9  -70.9     20   0.01    330     13  332.4  332.4  332.4
  205.0  11946  -58.9  -70.9     20   0.01    320     26  336.9  337.0  336.9
  200.0  12100  -59.7  -71.7     19   0.01    315     32  338.1  338.1  338.1
  195.0  12258  -58.7  -71.7     17   0.01    313     34  342.1  342.2  342.1
  193.0  12323  -57.3  -71.3     15   0.01    312     35  345.4  345.4  345.4
  187.0  12523  -56.7  -75.7      7   0.01    309     37  349.5  349.5  349.5
  183.0  12660  -55.5  -76.5      6   0.01    307     39  353.6  353.6  353.6
  180.0  12765  -53.5  -76.5      4   0.01    306     41  358.5  358.6  358.5
  179.0  12802  -53.6  -77.7      4   0.01    305     41  358.9  358.9  358.9
  177.0  12873  -53.9  -79.9      3   0.00    302     40  359.6  359.6  359.6
  175.0  12946  -53.3  -81.3      2   0.00    298     40  361.7  361.8  361.7
  170.6  13106  -54.6  -82.4      2   0.00    290     38  362.2  362.2  362.2
  155.0  13716  -59.7  -86.7      2   0.00    320     28  363.7  363.7  363.7
  155.0  13714  -59.7  -86.7      2   0.00    320     28  363.6  363.6  363.6
  153.0  13796  -58.3  -86.3      2   0.00    316     26  367.4  367.4  367.4
  151.0  13878  -58.1  -86.1      2   0.00    312     23  369.1  369.1  369.1
  150.0  13920  -58.3  -86.3      2   0.00    310     22  369.4  369.4  369.4
  147.6  14021  -58.8  -86.8      2   0.00    300     21  370.3  370.4  370.3
  140.6  14326  -60.2  -88.2      1   0.00    275     33  373.1  373.1  373.1
  137.0  14489  -60.9  -88.9      1   0.00    280     38  374.5  374.6  374.5
  127.5  14935  -62.1  -90.1      1   0.00    295     53  380.2  380.2  380.2
  121.4  15240  -62.9  -90.8      1   0.00    300     32  384.2  384.2  384.2
  121.0  15260  -62.9  -90.9      1   0.00    300     32  384.4  384.4  384.4
  109.9  15850  -66.1  -91.9      2   0.00    300     40  389.1  389.1  389.1
  106.0  16069  -67.3  -92.3      2   0.00    300     34  390.9  390.9  390.9
  104.0  16184  -67.3  -92.3      2   0.00    300     30  393.0  393.0  393.0
  100.0  16420  -69.1  -93.1      2   0.00    300     23  394.0  394.0  394.0
   85.4  17348  -75.7  -95.7      3   0.00    270     34  398.8  398.8  398.8
   76.5  17984  -75.5  -93.5      5   0.00    277     32  412.0  412.0  412.0
   74.7  18123  -73.9  -91.9      5   0.00    278     32  418.1  418.1  418.1
   72.6  18288  -74.7  -92.7      5   0.00    280     31  419.9  420.0  419.9
   70.3  18475  -75.5  -93.5      5   0.00    302     35  422.0  422.0  422.0
   70.0  18500  -75.5  -93.5      5   0.00    305     35  422.5  422.6  422.5
   68.9  18593  -75.3  -92.9      5   0.00    305     35  425.0  425.0  425.0
   67.2  18736  -74.9  -91.9      6   0.00    314     29  428.8  428.8  428.8
   65.4  18898  -72.6  -90.1      6   0.00    325     23  437.3  437.3  437.3
   63.8  19041  -70.5  -88.5      6   0.00    349     18  444.9  444.9  444.9
   62.1  19202  -70.8  -89.7      5   0.00     15     12  447.6  447.6  447.6
   61.8  19229  -70.9  -89.9      5   0.00     11     12  448.0  448.1  448.0
   58.8  19526  -67.5  -87.5      4   0.00    327     16  462.1  462.1  462.1
   56.1  19812  -67.9  -88.9      4   0.00    285     20  467.5  467.6  467.5
   53.4  20104  -68.3  -90.3      3   0.00    311     11  473.1  473.2  473.1
