Date Time, Water Level, Sigma, O, F, R, L, Quality 
2017-01-01 00:00,0.323,0.000,0,0,0,0,v
2017-01-01 00:06,0.324,0.063,0,0,0,0,v
2017-01-01 00:12,0.285,0.072,0,0,0,0,v
2017-01-01 00:18,0.272,0.050,0,0,0,0,v
2017-01-01 00:24,0.228,0.051,0,0,0,0,v
2017-01-01 00:30,0.216,0.052,0,0,0,0,v
2017-01-01 00:36,0.163,0.045,0,0,0,0,v
2017-01-01 00:42,0.154,0.066,0,0,0,0,v
2017-01-01 00:48,0.123,0.063,0,0,0,0,v
2017-01-01 00:54,0.090,0.059,0,0,0,0,v
2017-01-01 01:00,0.086,0.054,0,0,0,0,v
2017-01-01 01:06,0.065,0.051,0,0,0,0,v
2017-01-01 01:12,0.038,0.046,0,0,0,0,v
2017-01-01 01:18,0.030,0.048,0,0,0,0,v
2017-01-01 01:24,0.020,0.055,0,0,0,0,v
2017-01-01 01:30,-0.017,0.056,0,0,0,0,v
2017-01-01 01:36,-0.017,0.064,0,0,0,0,v
2017-01-01 01:42,-0.004,0.053,0,0,0,0,v
2017-01-01 01:48,-0.023,0.051,0,0,0,0,v
2017-01-01 01:54,-0.031,0.052,0,0,0,0,v
2017-01-01 02:00,-0.042,0.050,0,0,0,0,v
2017-01-01 02:06,-0.066,0.055,0,0,0,0,v
2017-01-01 02:12,-0.065,0.063,0,0,0,0,v
2017-01-01 02:18,-0.066,0.067,0,0,0,0,v
2017-01-01 02:24,-0.065,0.055,0,0,0,0,v
2017-01-01 02:30,-0.028,0.051,0,0,0,0,v
2017-01-01 02:36,-0.056,0.039,0,0,0,0,v
2017-01-01 02:42,-0.032,0.049,0,0,0,0,v
2017-01-01 02:48,-0.028,0.039,0,0,0,0,v
2017-01-01 02:54,-0.027,0.053,0,0,0,0,v
2017-01-01 03:00,-0.009,0.066,0,0,0,0,v
2017-01-01 03:06,0.017,0.042,0,0,0,0,v
2017-01-01 03:12,0.016,0.054,0,0,0,0,v
2017-01-01 03:18,0.061,0.051,0,0,0,0,v
2017-01-01 03:24,0.038,0.058,0,0,0,0,v
2017-01-01 03:30,0.044,0.054,0,0,0,0,v
2017-01-01 03:36,0.074,0.039,0,0,0,0,v
2017-01-01 03:42,0.109,0.051,0,0,0,0,v
2017-01-01 03:48,0.138,0.042,0,0,0,0,v
2017-01-01 03:54,0.150,0.065,0,0,0,0,v
2017-01-01 04:00,0.161,0.077,0,0,0,0,v
2017-01-01 04:06,0.203,0.055,0,0,0,0,v
2017-01-01 04:12,0.217,0.048,0,0,0,0,v
2017-01-01 04:18,0.255,0.048,0,0,0,0,v
2017-01-01 04:24,0.287,0.048,0,0,0,0,v
2017-01-01 04:30,0.321,0.057,0,0,0,0,v
2017-01-01 04:36,0.343,0.049,0,0,0,0,v
2017-01-01 04:42,0.371,0.046,0,0,0,0,v
2017-01-01 04:48,0.407,0.061,0,0,0,0,v
2017-01-01 04:54,0.449,0.052,0,0,0,0,v
2017-01-01 05:00,0.475,0.054,0,0,0,0,v
2017-01-01 05:06,0.497,0.063,0,0,0,0,v
2017-01-01 05:12,0.543,0.049,0,0,0,0,v
2017-01-01 05:18,0.578,0.049,0,0,0,0,v
2017-01-01 05:24,0.613,0.045,0,0,0,0,v
2017-01-01 05:30,0.648,0.059,0,0,0,0,v
2017-01-01 05:36,0.671,0.061,0,0,0,0,v
2017-01-01 05:42,0.702,0.071,0,0,0,0,v
2017-01-01 05:48,0.730,0.076,0,0,0,0,v
2017-01-01 05:54,0.731,0.050,0,0,0,0,v
2017-01-01 06:00,0.808,0.064,0,0,0,0,v
2017-01-01 06:06,0.817,0.055,0,0,0,0,v
2017-01-01 06:12,0.836,0.048,0,0,0,0,v
2017-01-01 06:18,0.867,0.050,0,0,0,0,v
2017-01-01 06:24,0.900,0.059,0,0,0,0,v
2017-01-01 06:30,0.950,0.055,0,0,0,0,v
2017-01-01 06:36,0.993,0.052,0,0,0,0,v
2017-01-01 06:42,0.998,0.059,0,0,0,0,v
2017-01-01 06:48,0.992,0.058,0,0,0,0,v
2017-01-01 06:54,1.024,0.084,0,0,0,0,v
2017-01-01 07:00,1.064,0.054,0,0,0,0,v
2017-01-01 07:06,1.093,0.059,0,0,0,0,v
2017-01-01 07:12,1.119,0.060,0,0,0,0,v
2017-01-01 07:18,1.122,0.053,0,0,0,0,v
2017-01-01 07:24,1.129,0.067,0,0,0,0,v
2017-01-01 07:30,1.153,0.062,0,0,0,0,v
2017-01-01 07:36,1.191,0.067,0,0,0,0,v
2017-01-01 07:42,1.222,0.049,0,0,0,0,v
2017-01-01 07:48,1.237,0.054,0,0,0,0,v
2017-01-01 07:54,1.241,0.069,0,0,0,0,v
2017-01-01 08:00,1.224,0.070,0,0,0,0,v
2017-01-01 08:06,1.245,0.074,0,0,0,0,v
2017-01-01 08:12,1.278,0.080,0,0,0,0,v
2017-01-01 08:18,1.290,0.061,0,0,0,0,v
2017-01-01 08:24,1.281,0.073,0,0,0,0,v
2017-01-01 08:30,1.307,0.063,0,0,0,0,v
2017-01-01 08:36,1.291,0.066,0,0,0,0,v
2017-01-01 08:42,1.323,0.057,0,0,0,0,v
2017-01-01 08:48,1.329,0.067,0,0,0,0,v
2017-01-01 08:54,1.303,0.058,0,0,0,0,v
2017-01-01 09:00,1.327,0.078,0,0,0,0,v
2017-01-01 09:06,1.310,0.066,0,0,0,0,v
2017-01-01 09:12,1.332,0.060,0,0,0,0,v
2017-01-01 09:18,1.327,0.059,0,0,0,0,v
2017-01-01 09:24,1.336,0.057,0,0,0,0,v
2017-01-01 09:30,1.311,0.056,0,0,0,0,v
2017-01-01 09:36,1.295,0.066,0,0,0,0,v
2017-01-01 09:42,1.317,0.062,0,0,0,0,v
2017-01-01 09:48,1.305,0.058,0,0,0,0,v
2017-01-01 09:54,1.265,0.061,0,0,0,0,v
2017-01-01 10:00,1.260,0.061,0,0,0,0,v
2017-01-01 10:06,1.278,0.063,0,0,0,0,v
2017-01-01 10:12,1.275,0.065,0,0,0,0,v
2017-01-01 10:18,1.262,0.065,0,0,0,0,v
2017-01-01 10:24,1.240,0.050,0,0,0,0,v
2017-01-01 10:30,1.214,0.056,0,0,0,0,v
2017-01-01 10:36,1.232,0.056,0,0,0,0,v
2017-01-01 10:42,1.201,0.072,0,0,0,0,v
2017-01-01 10:48,1.179,0.074,0,0,0,0,v
2017-01-01 10:54,1.150,0.050,0,0,0,0,v
2017-01-01 11:00,1.152,0.050,0,0,0,0,v
2017-01-01 11:06,1.141,0.050,0,0,0,0,v
2017-01-01 11:12,1.199,0.049,0,0,0,0,v
2017-01-01 11:18,1.152,0.061,0,0,0,0,v
2017-01-01 11:24,1.101,0.054,0,0,0,0,v
2017-01-01 11:30,1.090,0.054,0,0,0,0,v
2017-01-01 11:36,1.087,0.054,0,0,0,0,v
2017-01-01 11:42,1.055,0.057,0,0,0,0,v
2017-01-01 11:48,1.064,0.052,0,0,0,0,v
2017-01-01 11:54,1.062,0.051,0,0,0,0,v
2017-01-01 12:00,1.033,0.059,0,0,0,0,v
2017-01-01 12:06,1.035,0.063,0,0,0,0,v
2017-01-01 12:12,1.033,0.068,0,0,0,0,v
2017-01-01 12:18,1.038,0.065,0,0,0,0,v
2017-01-01 12:24,1.013,0.042,0,0,0,0,v
2017-01-01 12:30,1.017,0.059,0,0,0,0,v
2017-01-01 12:36,0.988,0.056,0,0,0,0,v
2017-01-01 12:42,0.983,0.052,0,0,0,0,v
2017-01-01 12:48,0.936,0.057,0,0,0,0,v
2017-01-01 12:54,0.943,0.056,0,0,0,0,v
2017-01-01 13:00,0.990,0.054,0,0,0,0,v
2017-01-01 13:06,0.965,0.043,0,0,0,0,v
2017-01-01 13:12,0.963,0.060,0,0,0,0,v
2017-01-01 13:18,0.940,0.045,0,0,0,0,v
2017-01-01 13:24,0.939,0.056,0,0,0,0,v
2017-01-01 13:30,0.919,0.055,0,0,0,0,v
2017-01-01 13:36,0.924,0.041,0,0,0,0,v
2017-01-01 13:42,0.953,0.044,0,0,0,0,v
2017-01-01 13:48,0.940,0.041,0,0,0,0,v
2017-01-01 13:54,0.931,0.052,0,0,0,0,v
2017-01-01 14:00,0.939,0.054,0,0,0,0,v
2017-01-01 14:06,0.948,0.047,0,0,0,0,v
2017-01-01 14:12,0.955,0.047,0,0,0,0,v
2017-01-01 14:18,0.953,0.044,0,0,0,0,v
2017-01-01 14:24,0.961,0.046,0,0,0,0,v
2017-01-01 14:30,0.951,0.058,0,0,0,0,v
2017-01-01 14:36,0.954,0.045,0,0,0,0,v
2017-01-01 14:42,0.978,0.048,0,0,0,0,v
2017-01-01 14:48,0.973,0.040,0,0,0,0,v
2017-01-01 14:54,0.990,0.044,0,0,0,0,v
2017-01-01 15:00,1.007,0.044,0,0,0,0,v
2017-01-01 15:06,1.011,0.045,0,0,0,0,v
2017-01-01 15:12,1.038,0.055,0,0,0,0,v
2017-01-01 15:18,1.051,0.050,0,0,0,0,v
