anio,mes,dia,hora(utc),altura(mm)
2016,1,1,0,670 
2016,1,1,1,506 
2016,1,1,2,384 
2016,1,1,3,330 
2016,1,1,4,356 
2016,1,1,5,456 
2016,1,1,6,610 
2016,1,1,7,793 
2016,1,1,8,973 
2016,1,1,9,1114 
2016,1,1,10,1192 
2016,1,1,11,1198 
2016,1,1,12,1142 
2016,1,1,13,1046 
2016,1,1,14,938 
2016,1,1,15,845 
2016,1,1,16,788 
2016,1,1,17,775 
2016,1,1,18,801 
2016,1,1,19,850 
2016,1,1,20,904 
2016,1,1,21,940 
2016,1,1,22,938 
2016,1,1,23,889 
2016,1,2,0,798 
2016,1,2,1,683 
2016,1,2,2,570 
2016,1,2,3,485 
2016,1,2,4,451 
2016,1,2,5,481 
2016,1,2,6,572 
2016,1,2,7,713 
2016,1,2,8,885 
2016,1,2,9,1054 
2016,1,2,10,1188 
2016,1,2,11,1262 
2016,1,2,12,1265 
2016,1,2,13,1202 
2016,1,2,14,1088 
2016,1,2,15,950 
2016,1,2,16,818 
2016,1,2,17,718 
2016,1,2,18,665 
2016,1,2,19,660 
2016,1,2,20,697 
2016,1,2,21,760 
2016,1,2,22,822 
2016,1,2,23,859 
2016,1,3,0,856 
2016,1,3,1,810 
2016,1,3,2,732 
2016,1,3,3,644 
2016,1,3,4,572 
2016,1,3,5,542 
2016,1,3,6,569 
2016,1,3,7,658 
2016,1,3,8,802 
2016,1,3,9,979 
2016,1,3,10,1153 
2016,1,3,11,1288 
2016,1,3,12,1357 
2016,1,3,13,1345 
2016,1,3,14,1253 
2016,1,3,15,1098 
2016,1,3,16,911 
2016,1,3,17,729 
2016,1,3,18,589 
2016,1,3,19,511 
2016,1,3,20,504 
2016,1,3,21,560 
2016,1,3,22,658 
2016,1,3,23,765 
2016,1,4,0,846 
2016,1,4,1,879 
2016,1,4,2,856 
2016,1,4,3,790 
2016,1,4,4,703 
2016,1,4,5,627 
2016,1,4,6,595 
2016,1,4,7,626 
2016,1,4,8,728 
2016,1,4,9,891 
2016,1,4,10,1088 
2016,1,4,11,1275 
2016,1,4,12,1411 
2016,1,4,13,1464 
2016,1,4,14,1416 
2016,1,4,15,1271 
2016,1,4,16,1054 
2016,1,4,17,808 
2016,1,4,18,581 
2016,1,4,19,417 
2016,1,4,20,342 
2016,1,4,21,363 
2016,1,4,22,467 
2016,1,4,23,618 
2016,1,5,0,771 
2016,1,5,1,885 
2016,1,5,2,934 
2016,1,5,3,910 
2016,1,5,4,832 
2016,1,5,5,730 
2016,1,5,6,645 
2016,1,5,7,617 
2016,1,5,8,667 
2016,1,5,9,800 
2016,1,5,10,997 
2016,1,5,11,1222 
2016,1,5,12,1420 
2016,1,5,13,1544 
2016,1,5,14,1559 
