Date Time, Water Level, Sigma, I, L 
2016-12-01 00:00,0.035,0.034,0,0
2016-12-01 01:00,-0.101,0.049,0,0
2016-12-01 02:00,-0.057,0.033,0,0
2016-12-01 03:00,0.129,0.042,0,0
2016-12-01 04:00,0.383,0.048,0,0
2016-12-01 05:00,0.661,0.045,0,0
2016-12-01 06:00,0.928,0.058,0,0
2016-12-01 07:00,1.130,0.049,0,0
2016-12-01 08:00,1.178,0.062,0,0
2016-12-01 09:00,1.141,0.059,0,0
2016-12-01 10:00,1.043,0.076,0,0
2016-12-01 11:00,0.974,0.079,0,0
2016-12-01 12:00,0.854,0.071,0,0
2016-12-01 13:00,0.850,0.070,0,0
2016-12-01 14:00,0.945,0.074,0,0
2016-12-01 15:00,1.128,0.091,0,0
2016-12-01 16:00,1.342,0.105,0,0
2016-12-01 17:00,1.525,0.092,0,0
2016-12-01 18:00,1.684,0.099,0,0
2016-12-01 19:00,1.659,0.083,0,0
2016-12-01 20:00,1.513,0.117,0,0
2016-12-01 21:00,1.212,0.093,0,0
2016-12-01 22:00,0.832,0.064,0,0
2016-12-01 23:00,0.474,0.074,0,0
2016-12-02 00:00,0.167,0.082,0,0
2016-12-02 01:00,-0.043,0.063,0,0
2016-12-02 02:00,-0.152,0.064,0,0
2016-12-02 03:00,-0.045,0.066,0,0
2016-12-02 04:00,0.145,0.050,0,0
2016-12-02 05:00,0.441,0.057,0,0
2016-12-02 06:00,0.737,0.074,0,0
2016-12-02 07:00,0.949,0.068,0,0
2016-12-02 08:00,1.115,0.077,0,0
2016-12-02 09:00,1.137,0.079,0,0
2016-12-02 10:00,1.099,0.092,0,0
2016-12-02 11:00,1.035,0.087,0,0
2016-12-02 12:00,0.888,0.078,0,0
2016-12-02 13:00,0.864,0.096,0,0
2016-12-02 14:00,0.877,0.071,0,0
2016-12-02 15:00,0.997,0.089,0,0
2016-12-02 16:00,1.201,0.090,0,0
2016-12-02 17:00,1.372,0.072,0,0
2016-12-02 18:00,1.551,0.073,0,0
2016-12-02 19:00,1.607,0.065,0,0
2016-12-02 20:00,1.529,0.078,0,0
2016-12-02 21:00,1.301,0.070,0,0
2016-12-02 22:00,1.047,0.062,0,0
2016-12-02 23:00,0.677,0.056,0,0
2016-12-03 00:00,0.336,0.047,0,0
2016-12-03 01:00,0.072,0.038,0,0
2016-12-03 02:00,-0.123,0.039,0,0
2016-12-03 03:00,-0.128,0.051,0,0
2016-12-03 04:00,0.024,0.057,0,0
2016-12-03 05:00,0.260,0.055,0,0
2016-12-03 06:00,0.506,0.049,0,0
2016-12-03 07:00,0.789,0.058,0,0
2016-12-03 08:00,1.023,0.055,0,0
2016-12-03 09:00,1.128,0.060,0,0
2016-12-03 10:00,1.124,0.069,0,0
2016-12-03 11:00,1.068,0.069,0,0
2016-12-03 12:00,1.000,0.059,0,0
2016-12-03 13:00,0.900,0.070,0,0
2016-12-03 14:00,0.890,0.069,0,0
2016-12-03 15:00,0.934,0.067,0,0
2016-12-03 16:00,1.047,0.066,0,0
2016-12-03 17:00,1.247,0.078,0,0
2016-12-03 18:00,1.378,0.078,0,0
2016-12-03 19:00,1.509,0.073,0,0
2016-12-03 20:00,1.501,0.076,0,0
2016-12-03 21:00,1.433,0.075,0,0
2016-12-03 22:00,1.194,0.090,0,0
2016-12-03 23:00,0.921,0.065,0,0
2016-12-04 00:00,0.593,0.069,0,0
2016-12-04 01:00,0.291,0.063,0,0
2016-12-04 02:00,0.026,0.082,0,0
2016-12-04 03:00,-0.029,0.067,0,0
2016-12-04 04:00,-0.031,0.056,0,0
2016-12-04 05:00,0.164,0.071,0,0
2016-12-04 06:00,0.335,0.083,0,0
2016-12-04 07:00,0.638,0.125,0,0
2016-12-04 08:00,0.907,0.093,0,0
2016-12-04 09:00,1.113,0.112,0,0
2016-12-04 10:00,1.169,0.148,0,0
2016-12-04 11:00,1.165,0.115,0,0
2016-12-04 12:00,1.105,0.095,0,0
2016-12-04 13:00,1.071,0.121,0,0
2016-12-04 14:00,0.956,0.082,0,0
2016-12-04 15:00,0.930,0.107,0,0
2016-12-04 16:00,0.985,0.106,0,0
2016-12-04 17:00,1.130,0.126,0,0
2016-12-04 18:00,1.239,0.103,0,0
2016-12-04 19:00,1.393,0.109,0,0
2016-12-04 20:00,1.440,0.091,0,0
2016-12-04 21:00,1.490,0.107,0,0
2016-12-04 22:00,1.344,0.146,0,0
2016-12-04 23:00,1.086,0.132,0,0
2016-12-05 00:00,0.823,0.140,0,0
2016-12-05 01:00,0.527,0.081,0,0
2016-12-05 02:00,0.230,0.080,0,0
2016-12-05 03:00,0.068,0.072,0,0
2016-12-05 04:00,0.030,0.075,0,0
2016-12-05 05:00,0.080,0.060,0,0
2016-12-05 06:00,0.286,0.080,0,0
2016-12-05 07:00,0.473,0.054,0,0
2016-12-05 08:00,0.762,0.093,0,0
2016-12-05 09:00,1.018,0.085,0,0
2016-12-05 10:00,1.181,0.078,0,0
2016-12-05 11:00,1.219,0.078,0,0
2016-12-05 12:00,1.193,0.094,0,0
2016-12-05 13:00,1.171,0.071,0,0
2016-12-05 14:00,1.059,0.060,0,0
2016-12-05 15:00,0.984,0.089,0,0
2016-12-05 16:00,0.948,0.071,0,0
2016-12-05 17:00,0.983,0.062,0,0
2016-12-05 18:00,1.056,0.072,0,0
2016-12-05 19:00,1.189,0.071,0,0
2016-12-05 20:00,1.263,0.069,0,0
2016-12-05 21:00,1.334,0.080,0,0
2016-12-05 22:00,1.311,0.083,0,0
2016-12-05 23:00,1.208,0.063,0,0
2016-12-06 00:00,1.014,0.066,0,0
2016-12-06 01:00,0.765,0.057,0,0
2016-12-06 02:00,0.526,0.054,0,0
2016-12-06 03:00,0.296,0.060,0,0
2016-12-06 04:00,0.137,0.035,0,0
2016-12-06 05:00,0.109,0.050,0,0
2016-12-06 06:00,0.157,0.052,0,0
2016-12-06 07:00,0.367,0.058,0,0
2016-12-06 08:00,0.611,0.058,0,0
2016-12-06 09:00,0.862,0.082,0,0
2016-12-06 10:00,1.065,0.073,0,0
2016-12-06 11:00,1.246,0.075,0,0
2016-12-06 12:00,1.304,0.077,0,0
2016-12-06 13:00,1.267,0.061,0,0
